! VERSION = 6.00
BEGIN_HEADER
 ICCAP_INPUTS
  Vg         V  G GROUND gate 0.1 LIN        1    -0.2       1.2        71   0.02      
  Vd         V  D GROUND drain 0.1 LIN        2    0.04       1.2        2    1.16      
  Vs         V  S GROUND source 0.1 CON        0
  Vb         V  B GROUND bulk 0.1 CON        0
 ICCAP_OUTPUTS
  Id         I  D GROUND drain B
  Ig         I  G GROUND gate B
END_HEADER

BEGIN_DB
 ICCAP_VAR Vd         0.04           
 ICCAP_VAR Vs         0              
 ICCAP_VAR Vb         0              

 #Vg              Id              Ig             
  -0.2            -6.6e-011       2.004e-009     
  -0.18           -3.76e-010      2.376e-009     
  -0.16           -3.35e-010      1.493e-009     
  -0.14           -1.32e-010      -6.9e-010      
  -0.12           -3.74e-010      3.43e-009      
  -0.1            2.907e-009      2.11e-010      
  -0.08           6.6e-011        -2.744e-009    
  -0.06           4.09e-010       -1.041e-009    
  -0.04           -1.377e-009     -3.75e-010     
  -0.02           2.71e-010       -2.418e-009    
  0               6.48e-010       8.53e-010      
  0.02            8.15e-010       2.896e-009     
  0.04            1.27e-009       -5.276e-009    
  0.06            1.984e-009      -1.455e-009    
  0.08            3.205e-009      -1.937e-009    
  0.1             5.774e-009      -1.105e-009    
  0.12            1.054e-008      4.009e-009     
  0.14            1.848e-008      6.732e-009     
  0.16            3.3437e-008     1.356e-009     
  0.18            6.42885e-008    3.73e-010      
  0.2             1.08846e-007    1e-010         
  0.22            1.95527e-007    -4.144e-009    
  0.24            3.49124e-007    -1.584e-009    
  0.26            6.20714e-007    -1.017e-009    
  0.28            1.0966e-006     -4.41e-010     
  0.3             1.92079e-006    -1.448e-009    
  0.32            3.32486e-006    -8.08e-010     
  0.34            5.6649e-006     3.392e-009     
  0.36            9.48784e-006    6.973e-009     
  0.38            1.55635e-005    -7.66e-010     
  0.4             2.49718e-005    -2.383e-009    
  0.42            3.90134e-005    -1.09e-009     
  0.44            5.93168e-005    2.51e-010      
  0.46            8.75685e-005    2.893e-009     
  0.48            0.000125305     2.018e-009     
  0.5             0.00017416      -1.509e-009    
