! VERSION = 6.00
BEGIN_HEADER
 ICCAP_INPUTS
  Vg         V  G GROUND gate 0.1 LIN        1    -0.2       1.2        71   0.02      
  Vd         V  D GROUND drain 0.1 LIN        2    0.04       1.2        2    1.16      
  Vs         V  S GROUND source 0.1 CON        0
  Vb         V  B GROUND bulk 0.1 CON        0
 ICCAP_OUTPUTS
  Id         I  D GROUND drain B
  Ig         I  G GROUND gate B
END_HEADER

BEGIN_DB
 ICCAP_VAR Vd         0.04           
 ICCAP_VAR Vs         0              
 ICCAP_VAR Vb         0              

 #Vg              Id              Ig             
  -0.2            4.78e-010       1.073e-009     
  -0.18           -9.6e-011       -1.166e-009    
  -0.16           1.32e-010       -6.32e-010     
  -0.14           1.939e-009      5.03e-010      
  -0.12           -1.99e-010      -3.4313e-009   
  -0.1            -1.25e-010      3.099e-009     
  -0.08           3.408e-009      -2.82e-010     
  -0.06           4.37e-010       1.268e-009     
  -0.04           3.714e-009      2.707e-009     
  -0.02           3.24e-010       3.83e-010      
  0               8.4e-010        -2.237e-009    
  0.02            -1.181e-009     -1.78e-010     
  0.04            3.488e-009      -1.21e-010     
  0.06            4.033e-009      1.31e-010      
  0.08            6.818e-009      -6.77e-010     
  0.1             1.1853e-008     -2.217e-009    
  0.12            2.0071e-008     2.405e-009     
  0.14            3.4772e-008     -1.182e-009    
  0.16            6.1286e-008     -1.085e-009    
  0.18            1.04357e-007    -7.79e-010     
  0.2             1.82404e-007    3.196e-009     
  0.22            3.13649e-007    -5.126e-009    
  0.24            5.38215e-007    -1.275e-009    
  0.26            9.17679e-007    3.2157e-009    
  0.28            1.55587e-006    2.641e-009     
  0.3             2.61703e-006    3.052e-009     
  0.32            4.34359e-006    -7.28e-009     
  0.34            7.12262e-006    2.135e-009     
  0.36            1.14929e-005    3.4858e-009    
  0.38            1.82436e-005    -1.216e-009    
  0.4             2.8352e-005     3.52e-010      
  0.42            4.31729e-005    -1.254e-009    
  0.44            6.41234e-005    3.4e-011       
  0.46            9.28011e-005    2.368e-009     
  0.48            0.0001311       6.181e-009     
  0.5             0.000180515     2.357e-009     
